n_estimators,macro_f1,n_train,n_val
100,0.6509754990925589,111,48
200,0.6927754071682107,111,48
300,0.6728019323671498,111,48
400,0.6924521072796935,111,48
500,0.718704332044504,111,48
600,0.7189579552329097,111,48
700,0.7189579552329097,111,48
800,0.6939553752535497,111,48
900,0.7196804511278195,111,48
1000,0.7196804511278195,111,48
1100,0.724981419546637,111,48
1200,0.7447222222222222,111,48
1300,0.7447222222222222,111,48
1400,0.7430555555555555,111,48
1500,0.7001537110232762,111,48
1600,0.7001537110232762,111,48
1700,0.7001537110232762,111,48
1800,0.7001537110232762,111,48
1900,0.7001537110232762,111,48
2000,0.7001537110232762,111,48
